"outcome","treated_iso3c","treated_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","n_units_in_reference_distribution","placebo_rank_pvalue","outcome_label"
"MEU","BEN","Benin",4.74043846844517,15.6170409577247,3.29442963170597,-13.8408333714066,13.8408333714066,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","BFA","Burkina Faso",5.20516277333794,14.8473030523288,2.85241858878652,-14.3512625272467,14.3512625272467,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","CAF","Central African Republic",12.0298862434734,24.4395533921963,2.03156978358424,-21.1949728817579,21.7144386361461,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","CIV","Côte d'Ivoire",5.13286088095745,18.9559752313724,3.69306234300987,-17.1880612936352,17.1880612936352,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","CMR","Cameroon",9.12585533262476,26.179157619294,2.86867988425194,-25.014158666464,25.014158666464,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","COG","Republic of Congo",14.3754373108458,37.836069426216,2.63199432532532,-36.2932687691091,36.2932687691091,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","GAB","Gabon",7.55503584198236,30.7510438731633,4.07027107697937,-21.549912896813,24.4344541915498,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","SEN","Senegal",3.66879405473657,12.6816451799849,3.45662498106493,-11.8079708533199,11.8079708533199,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","TCD","Chad",10.3294701698521,25.724796356576,2.49042747919996,-23.1336858513783,23.2621002125773,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","GNQ","Equatorial Guinea",17.3639938116808,23.8702832121781,1.37470005294062,-23.0139309839913,23.0139309839913,13,0.230769230769231,"Imports from EU (% of total imports)"
"MEU","TGO","Togo",10.9701512767249,16.4569140506474,1.5001537932812,-14.3598299696715,14.3598299696715,13,0.230769230769231,"Imports from EU (% of total imports)"
"MEU","NER","Niger",7.0167461954704,9.17215892563126,1.30718123046153,-8.09339438504212,8.61041472321405,13,0.307692307692308,"Imports from EU (% of total imports)"
"MEU","MLI","Mali",10.2333560895973,10.6437533905948,1.04010388160094,-9.67702270338796,9.67702270338796,13,0.538461538461538,"Imports from EU (% of total imports)"
