"outcome","treated_iso3c","treated_country","placebo_iso3c","placebo_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","unit_type"
"imports_gdp","GNQ","Equatorial Guinea","BOL","Bolivia",2.60307739487004,2.38478596268698,0.916141013473801,-1.54659876435777,2.22367602106329,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","BTN","Bhutan",5.4694031389211,5.93188915022787,1.0845587716904,2.02267594836256,5.52078750619397,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","BWA","Botswana",5.86107180821991,10.7383047486298,1.83214011020472,-10.2370969859454,10.2370969859454,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","CPV","Cabo Verde",11.8275669458509,7.455622478691,0.630359778374066,7.2265743343543,7.2265743343543,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","ECU","Ecuador",3.30441389106622,3.50972950380896,1.06213374580522,3.1925183277572,3.1925183277572,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","IRQ","Iraq",19.9137633199247,21.9223190021114,1.10086268727403,19.1295418634248,19.1295418634248,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","MAR","Morocco",2.70330399143758,2.7137833795693,1.00387651117481,1.98862851750102,2.0406284847367,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","MUS","Mauritius",8.31614488584659,7.41891564146284,0.892109955189602,-6.701066050872,6.701066050872,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","NAM","Namibia",2.91014601902306,5.89699374589549,2.0263566526724,0.545277527785023,5.35138935212454,"Placebo donor"
"imports_gdp","GNQ","Equatorial Guinea","SYC","Seychelles",10.5136286418834,15.5294982618677,1.47708263158569,14.1645689187861,14.1645689187861,"Placebo donor"
"imports_gdp","MLI","Mali","BGD","Bangladesh",7.96963018493342,10.6888768733549,1.34120111289006,-10.6009945941874,10.6009945941874,"Placebo donor"
"imports_gdp","MLI","Mali","BOL","Bolivia",2.60307739487004,2.38478596268698,0.916141013473801,-1.54659876435777,2.22367602106329,"Placebo donor"
"imports_gdp","MLI","Mali","BTN","Bhutan",5.4694031389211,5.93188915022787,1.0845587716904,2.02267594836256,5.52078750619397,"Placebo donor"
"imports_gdp","MLI","Mali","BWA","Botswana",5.86107180821991,10.7383047486298,1.83214011020472,-10.2370969859454,10.2370969859454,"Placebo donor"
"imports_gdp","MLI","Mali","CPV","Cabo Verde",11.8275669458509,7.455622478691,0.630359778374066,7.2265743343543,7.2265743343543,"Placebo donor"
"imports_gdp","MLI","Mali","ECU","Ecuador",3.30441389106622,3.50972950380896,1.06213374580522,3.1925183277572,3.1925183277572,"Placebo donor"
"imports_gdp","MLI","Mali","IRQ","Iraq",19.9137633199247,21.9223190021114,1.10086268727403,19.1295418634248,19.1295418634248,"Placebo donor"
"imports_gdp","MLI","Mali","MAR","Morocco",2.70330399143758,2.7137833795693,1.00387651117481,1.98862851750102,2.0406284847367,"Placebo donor"
"imports_gdp","MLI","Mali","MUS","Mauritius",8.31614488584659,7.41891564146284,0.892109955189602,-6.701066050872,6.701066050872,"Placebo donor"
"imports_gdp","MLI","Mali","NAM","Namibia",2.91014601902306,5.89699374589549,2.0263566526724,0.545277527785023,5.35138935212454,"Placebo donor"
"imports_gdp","MLI","Mali","SYC","Seychelles",10.5136286418834,15.5294982618677,1.47708263158569,14.1645689187861,14.1645689187861,"Placebo donor"
"imports_gdp","NER","Niger","BGD","Bangladesh",7.96963018493342,10.6888768733549,1.34120111289006,-10.6009945941874,10.6009945941874,"Placebo donor"
"imports_gdp","NER","Niger","BOL","Bolivia",2.60307739487004,2.38478596268698,0.916141013473801,-1.54659876435777,2.22367602106329,"Placebo donor"
"imports_gdp","NER","Niger","BTN","Bhutan",5.4694031389211,5.93188915022787,1.0845587716904,2.02267594836256,5.52078750619397,"Placebo donor"
"imports_gdp","NER","Niger","BWA","Botswana",5.86107180821991,10.7383047486298,1.83214011020472,-10.2370969859454,10.2370969859454,"Placebo donor"
"imports_gdp","NER","Niger","CPV","Cabo Verde",11.8275669458509,7.455622478691,0.630359778374066,7.2265743343543,7.2265743343543,"Placebo donor"
"imports_gdp","NER","Niger","ECU","Ecuador",3.30441389106622,3.50972950380896,1.06213374580522,3.1925183277572,3.1925183277572,"Placebo donor"
"imports_gdp","NER","Niger","IRQ","Iraq",19.9137633199247,21.9223190021114,1.10086268727403,19.1295418634248,19.1295418634248,"Placebo donor"
"imports_gdp","NER","Niger","MAR","Morocco",2.70330399143758,2.7137833795693,1.00387651117481,1.98862851750102,2.0406284847367,"Placebo donor"
"imports_gdp","NER","Niger","MUS","Mauritius",8.31614488584659,7.41891564146284,0.892109955189602,-6.701066050872,6.701066050872,"Placebo donor"
"imports_gdp","NER","Niger","NAM","Namibia",2.91014601902306,5.89699374589549,2.0263566526724,0.545277527785023,5.35138935212454,"Placebo donor"
"imports_gdp","NER","Niger","SYC","Seychelles",10.5136286418834,15.5294982618677,1.47708263158569,14.1645689187861,14.1645689187861,"Placebo donor"
"imports_gdp","SEN","Senegal","BGD","Bangladesh",7.96963018493342,10.6888768733549,1.34120111289006,-10.6009945941874,10.6009945941874,"Placebo donor"
"imports_gdp","SEN","Senegal","BOL","Bolivia",2.60307739487004,2.38478596268698,0.916141013473801,-1.54659876435777,2.22367602106329,"Placebo donor"
"imports_gdp","SEN","Senegal","BTN","Bhutan",5.4694031389211,5.93188915022787,1.0845587716904,2.02267594836256,5.52078750619397,"Placebo donor"
"imports_gdp","SEN","Senegal","BWA","Botswana",5.86107180821991,10.7383047486298,1.83214011020472,-10.2370969859454,10.2370969859454,"Placebo donor"
"imports_gdp","SEN","Senegal","CPV","Cabo Verde",11.8275669458509,7.455622478691,0.630359778374066,7.2265743343543,7.2265743343543,"Placebo donor"
"imports_gdp","SEN","Senegal","ECU","Ecuador",3.30441389106622,3.50972950380896,1.06213374580522,3.1925183277572,3.1925183277572,"Placebo donor"
"imports_gdp","SEN","Senegal","IRQ","Iraq",19.9137633199247,21.9223190021114,1.10086268727403,19.1295418634248,19.1295418634248,"Placebo donor"
"imports_gdp","SEN","Senegal","MAR","Morocco",2.70330399143758,2.7137833795693,1.00387651117481,1.98862851750102,2.0406284847367,"Placebo donor"
"imports_gdp","SEN","Senegal","MUS","Mauritius",8.31614488584659,7.41891564146284,0.892109955189602,-6.701066050872,6.701066050872,"Placebo donor"
"imports_gdp","SEN","Senegal","NAM","Namibia",2.91014601902306,5.89699374589549,2.0263566526724,0.545277527785023,5.35138935212454,"Placebo donor"
"imports_gdp","SEN","Senegal","SYC","Seychelles",10.5136286418834,15.5294982618677,1.47708263158569,14.1645689187861,14.1645689187861,"Placebo donor"
"imports_gdp","TCD","Chad","BGD","Bangladesh",7.96963018493342,10.6888768733549,1.34120111289006,-10.6009945941874,10.6009945941874,"Placebo donor"
"imports_gdp","TCD","Chad","BOL","Bolivia",2.60307739487004,2.38478596268698,0.916141013473801,-1.54659876435777,2.22367602106329,"Placebo donor"
"imports_gdp","TCD","Chad","BTN","Bhutan",5.4694031389211,5.93188915022787,1.0845587716904,2.02267594836256,5.52078750619397,"Placebo donor"
"imports_gdp","TCD","Chad","BWA","Botswana",5.86107180821991,10.7383047486298,1.83214011020472,-10.2370969859454,10.2370969859454,"Placebo donor"
"imports_gdp","TCD","Chad","CPV","Cabo Verde",11.8275669458509,7.455622478691,0.630359778374066,7.2265743343543,7.2265743343543,"Placebo donor"
"imports_gdp","TCD","Chad","ECU","Ecuador",3.30441389106622,3.50972950380896,1.06213374580522,3.1925183277572,3.1925183277572,"Placebo donor"
"imports_gdp","TCD","Chad","IRQ","Iraq",19.9137633199247,21.9223190021114,1.10086268727403,19.1295418634248,19.1295418634248,"Placebo donor"
"imports_gdp","TCD","Chad","MAR","Morocco",2.70330399143758,2.7137833795693,1.00387651117481,1.98862851750102,2.0406284847367,"Placebo donor"
"imports_gdp","TCD","Chad","MUS","Mauritius",8.31614488584659,7.41891564146284,0.892109955189602,-6.701066050872,6.701066050872,"Placebo donor"
"imports_gdp","TCD","Chad","NAM","Namibia",2.91014601902306,5.89699374589549,2.0263566526724,0.545277527785023,5.35138935212454,"Placebo donor"
"imports_gdp","TCD","Chad","SYC","Seychelles",10.5136286418834,15.5294982618677,1.47708263158569,14.1645689187861,14.1645689187861,"Placebo donor"
"imports_gdp","TGO","Togo","BGD","Bangladesh",7.96963018493342,10.6888768733549,1.34120111289006,-10.6009945941874,10.6009945941874,"Placebo donor"
"imports_gdp","TGO","Togo","BOL","Bolivia",2.60307739487004,2.38478596268698,0.916141013473801,-1.54659876435777,2.22367602106329,"Placebo donor"
"imports_gdp","TGO","Togo","BTN","Bhutan",5.4694031389211,5.93188915022787,1.0845587716904,2.02267594836256,5.52078750619397,"Placebo donor"
"imports_gdp","TGO","Togo","BWA","Botswana",5.86107180821991,10.7383047486298,1.83214011020472,-10.2370969859454,10.2370969859454,"Placebo donor"
"imports_gdp","TGO","Togo","CPV","Cabo Verde",11.8275669458509,7.455622478691,0.630359778374066,7.2265743343543,7.2265743343543,"Placebo donor"
"imports_gdp","TGO","Togo","ECU","Ecuador",3.30441389106622,3.50972950380896,1.06213374580522,3.1925183277572,3.1925183277572,"Placebo donor"
"imports_gdp","TGO","Togo","IRQ","Iraq",19.9137633199247,21.9223190021114,1.10086268727403,19.1295418634248,19.1295418634248,"Placebo donor"
"imports_gdp","TGO","Togo","MAR","Morocco",2.70330399143758,2.7137833795693,1.00387651117481,1.98862851750102,2.0406284847367,"Placebo donor"
"imports_gdp","TGO","Togo","MUS","Mauritius",8.31614488584659,7.41891564146284,0.892109955189602,-6.701066050872,6.701066050872,"Placebo donor"
"imports_gdp","TGO","Togo","NAM","Namibia",2.91014601902306,5.89699374589549,2.0263566526724,0.545277527785023,5.35138935212454,"Placebo donor"
"imports_gdp","TGO","Togo","SYC","Seychelles",10.5136286418834,15.5294982618677,1.47708263158569,14.1645689187861,14.1645689187861,"Placebo donor"
