"outcome","treated_iso3c","treated_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","n_units_in_reference_distribution","placebo_rank_pvalue","outcome_label"
"imports_gdp","BEN","Benin",3.23770464848,12.1898253799119,3.76495903838376,-11.869618132436,11.869618132436,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","BFA","Burkina Faso",2.78923570143547,5.92873783361841,2.12557792465054,-5.72712882199299,5.72712882199299,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","CAF","Central African Republic",2.09333625801638,7.18175193172114,3.43076842252112,-7.15583134106748,7.15583134106748,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","GAB","Gabon",6.50445337917303,15.281395463116,2.34937427825163,-13.804202195252,13.804202195252,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","TCD","Chad",5.68236041382362,43.505743286944,7.65628015799676,31.1153966319085,32.5685259709168,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","CMR","Cameroon",4.23911499867938,5.74068468369564,1.35421772834284,-4.81806054258057,5.06189727774557,12,0.333333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","MLI","Mali",4.2186605183916,6.11124083027366,1.44862114494191,-5.5183311691314,5.5183311691314,12,0.333333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","CIV","Côte d'Ivoire",2.66447778902915,3.36027040413527,1.26113657917173,-2.9158344852924,2.9158344852924,12,0.416666666666667,"Imports of goods and services (% of GDP)"
"imports_gdp","SEN","Senegal",3.70199531726503,4.11318239672698,1.11107174488965,4.10692225406716,4.10692225406716,12,0.416666666666667,"Imports of goods and services (% of GDP)"
"imports_gdp","COG","Republic of Congo",14.6290231038799,12.1417407595015,0.829976183186237,-0.821277687200904,10.0732665876771,12,0.916666666666667,"Imports of goods and services (% of GDP)"
"imports_gdp","NER","Niger",4.25777534034139,2.20100786425614,0.516938468641622,-1.55413372069134,1.55413372069134,12,1,"Imports of goods and services (% of GDP)"
"imports_gdp","TGO","Togo",8.46783455669958,3.00498434917298,0.35487046057076,-1.78714988242845,2.60395408819842,12,1,"Imports of goods and services (% of GDP)"
