"outcome","treated_iso3c","treated_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","n_units_in_reference_distribution","placebo_rank_pvalue","outcome_label"
"MEU","BEN","Benin",4.74043846844517,15.6170409577247,3.29442963170597,-13.8408333714066,13.8408333714066,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","BFA","Burkina Faso",5.20516277333794,14.8473030523288,2.85241858878652,-14.3512625272467,14.3512625272467,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","CAF","Central African Republic",12.0298862434734,24.4395533921963,2.03156978358424,-21.1949728817579,21.7144386361461,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","CIV","Côte d'Ivoire",5.13286088095745,18.9559752313724,3.69306234300987,-17.1880612936352,17.1880612936352,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","CMR","Cameroon",9.12585533262476,26.179157619294,2.86867988425194,-25.014158666464,25.014158666464,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","COG","Republic of Congo",14.3754373108458,37.836069426216,2.63199432532532,-36.2932687691091,36.2932687691091,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","GAB","Gabon",7.55503584198236,30.7510438731633,4.07027107697937,-21.549912896813,24.4344541915498,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","SEN","Senegal",3.66879405473657,12.6816451799849,3.45662498106493,-11.8079708533199,11.8079708533199,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","TCD","Chad",10.3294701698521,25.724796356576,2.49042747919996,-23.1336858513783,23.2621002125773,13,0.0769230769230769,"Imports from EU (% of total imports)"
"MEU","GNQ","Equatorial Guinea",17.3639938116808,23.8702832121781,1.37470005294062,-23.0139309839913,23.0139309839913,13,0.230769230769231,"Imports from EU (% of total imports)"
"MEU","TGO","Togo",10.9701512767249,16.4569140506474,1.5001537932812,-14.3598299696715,14.3598299696715,13,0.230769230769231,"Imports from EU (% of total imports)"
"MEU","NER","Niger",7.0167461954704,9.17215892563126,1.30718123046153,-8.09339438504212,8.61041472321405,13,0.307692307692308,"Imports from EU (% of total imports)"
"MEU","MLI","Mali",10.2333560895973,10.6437533905948,1.04010388160094,-9.67702270338796,9.67702270338796,13,0.538461538461538,"Imports from EU (% of total imports)"
"XEU","SEN","Senegal",5.39350900496686,24.9558519461531,4.62701590433452,-24.2435583591203,24.2435583591203,12,0.0833333333333333,"Exports to EU (% of total exports)"
"XEU","BFA","Burkina Faso",8.86076436453004,24.4765282955027,2.76234953199784,-21.8872756228749,23.5592154955241,12,0.166666666666667,"Exports to EU (% of total exports)"
"XEU","CIV","Côte d'Ivoire",6.27781563325691,14.5280407488599,2.31418722650873,-13.8755375781011,13.8755375781011,12,0.166666666666667,"Exports to EU (% of total exports)"
"XEU","TCD","Chad",16.4344767714289,49.9027159874506,3.03646515076195,-47.2601213831789,47.4601209649917,12,0.166666666666667,"Exports to EU (% of total exports)"
"XEU","MLI","Mali",14.8455088136619,26.3439002216553,1.7745367001104,-25.8672285891071,25.8672285891071,12,0.416666666666667,"Exports to EU (% of total exports)"
"XEU","NER","Niger",12.137953736017,20.8134545567376,1.71474162856444,-18.444586851277,18.444586851277,12,0.5,"Exports to EU (% of total exports)"
"XEU","GNQ","Equatorial Guinea",29.8642460672711,32.0236936300874,1.0723087921909,-30.8151027577766,30.8151027577766,12,0.833333333333333,"Exports to EU (% of total exports)"
"XEU","BEN","Benin",20.2039268119111,16.2452842785297,0.804065686327489,-16.0536463643333,16.0536463643333,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","COG","Republic of Congo",13.2256554373021,13.6425168491801,1.03151914956912,-10.4144213550491,12.7553369497411,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","GAB","Gabon",15.3274325125001,12.9231451910741,0.843138286894089,-11.8499626556055,11.8499626556055,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","TGO","Togo",17.2585113918871,16.7840604312464,0.972509160850121,-16.1284693439346,16.1284693439346,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","CAF","Central African Republic",22.3329667117091,16.3612085710406,0.732603454894442,-3.74354399849076,13.0771078256434,12,1,"Exports to EU (% of total exports)"
"XEU","CMR","Cameroon",14.3182865916503,6.59150880098649,0.460355976170383,-1.00680679323797,5.2605581225109,12,1,"Exports to EU (% of total exports)"
"exports_gdp","BFA","Burkina Faso",2.59870058384353,6.20754046086548,2.3887093801643,-5.95842158533124,5.95842158533124,12,0.0833333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","CAF","Central African Republic",2.35827350955678,13.5092207882819,5.72843681343004,-12.4497160268706,12.4497160268706,12,0.0833333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","NER","Niger",4.10691856496433,10.4035989280172,2.53318851188557,-9.98529650401779,9.98529650401779,12,0.0833333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","SEN","Senegal",2.0318605871888,6.55955655314001,3.22834971774099,-5.64862911375792,5.64862911375792,12,0.0833333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","TCD","Chad",2.77802437687566,20.3014520303595,7.30787396948323,14.0960343803624,16.9255939641959,12,0.0833333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","CMR","Cameroon",4.22842538240297,9.23274271946445,2.1834942997664,-8.49567047286509,8.49567047286509,12,0.166666666666667,"Exports of goods and services (% of GDP)"
"exports_gdp","BEN","Benin",3.36191065479869,6.41770122522843,1.90894461043098,-6.06026660709454,6.06026660709454,12,0.25,"Exports of goods and services (% of GDP)"
"exports_gdp","MLI","Mali",1.64478925164136,2.33705700914196,1.42088538504843,0.502886838909805,1.97306769529429,12,0.333333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","TGO","Togo",9.1884659068201,12.3839325011306,1.34776932588264,-12.3162064821569,12.3162064821569,12,0.333333333333333,"Exports of goods and services (% of GDP)"
"exports_gdp","COG","Republic of Congo",10.8910823852652,12.1192444157557,1.11276767423523,12.0211838762337,12.0211838762337,12,0.5,"Exports of goods and services (% of GDP)"
"exports_gdp","CIV","Côte d'Ivoire",5.07920888445351,4.14757531871097,0.816579001388565,-4.05599805351148,4.05599805351148,12,0.75,"Exports of goods and services (% of GDP)"
"exports_gdp","GAB","Gabon",9.94954853756496,5.52629947166662,0.55543218376209,-0.173851570220952,4.98740171231066,12,0.75,"Exports of goods and services (% of GDP)"
"imports_gdp","BEN","Benin",3.23770464848,12.1898253799119,3.76495903838376,-11.869618132436,11.869618132436,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","BFA","Burkina Faso",2.78923570143547,5.92873783361841,2.12557792465054,-5.72712882199299,5.72712882199299,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","CAF","Central African Republic",2.09333625801638,7.18175193172114,3.43076842252112,-7.15583134106748,7.15583134106748,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","GAB","Gabon",6.50445337917303,15.281395463116,2.34937427825163,-13.804202195252,13.804202195252,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","TCD","Chad",5.68236041382362,43.505743286944,7.65628015799676,31.1153966319085,32.5685259709168,12,0.0833333333333333,"Imports of goods and services (% of GDP)"
"imports_gdp","CMR","Cameroon",4.23911499867938,5.74068468369564,1.35421772834284,-4.81806054258057,5.06189727774557,12,0.333333333333333,"Imports of goods and services (% of GDP)"
