"outcome","treated_iso3c","placebo_iso3c","success","error_message"
"XEU","GNQ","BGD",TRUE,NA
"XEU","GNQ","BRB",TRUE,NA
"XEU","GNQ","BOL",TRUE,NA
"XEU","GNQ","CPV",TRUE,NA
"XEU","GNQ","DMA",TRUE,NA
"XEU","GNQ","ECU",TRUE,NA
"XEU","GNQ","GRD",TRUE,NA
"XEU","GNQ","LAO",TRUE,NA
"XEU","GNQ","MUS",TRUE,NA
"XEU","GNQ","MAR",TRUE,NA
"XEU","GNQ","LCA",TRUE,NA
"MEU","BEN","BGD",TRUE,NA
"MEU","BEN","BRB",TRUE,NA
"MEU","BEN","BOL",TRUE,NA
"MEU","BEN","CPV",TRUE,NA
"MEU","BEN","DMA",TRUE,NA
"MEU","BEN","ECU",TRUE,NA
"MEU","BEN","GRD",TRUE,NA
"MEU","BEN","LAO",TRUE,NA
"MEU","BEN","MUS",TRUE,NA
"MEU","BEN","MAR",TRUE,NA
"MEU","BEN","LCA",TRUE,NA
"MEU","BEN","SYC",TRUE,NA
"MEU","BFA","BGD",TRUE,NA
"MEU","BFA","BRB",TRUE,NA
"MEU","BFA","BOL",TRUE,NA
"MEU","BFA","CPV",TRUE,NA
"MEU","BFA","DMA",TRUE,NA
"MEU","BFA","ECU",TRUE,NA
"MEU","BFA","GRD",TRUE,NA
"MEU","BFA","LAO",TRUE,NA
"MEU","BFA","MUS",TRUE,NA
"MEU","BFA","MAR",TRUE,NA
"MEU","BFA","LCA",TRUE,NA
"MEU","BFA","SYC",TRUE,NA
"MEU","CIV","BGD",TRUE,NA
"MEU","CIV","BRB",TRUE,NA
"MEU","CIV","BOL",TRUE,NA
"MEU","CIV","CPV",TRUE,NA
"MEU","CIV","DMA",TRUE,NA
"MEU","CIV","ECU",TRUE,NA
"MEU","CIV","GRD",TRUE,NA
"MEU","CIV","LAO",TRUE,NA
"MEU","CIV","MUS",TRUE,NA
"MEU","CIV","MAR",TRUE,NA
"MEU","CIV","LCA",TRUE,NA
"MEU","CIV","SYC",TRUE,NA
"MEU","MLI","BGD",TRUE,NA
"MEU","MLI","BRB",TRUE,NA
"MEU","MLI","BOL",TRUE,NA
"MEU","MLI","CPV",TRUE,NA
"MEU","MLI","DMA",TRUE,NA
"MEU","MLI","ECU",TRUE,NA
"MEU","MLI","GRD",TRUE,NA
"MEU","MLI","LAO",TRUE,NA
"MEU","MLI","MUS",TRUE,NA
"MEU","MLI","MAR",TRUE,NA
"MEU","MLI","LCA",TRUE,NA
"MEU","MLI","SYC",TRUE,NA
"MEU","NER","BGD",TRUE,NA
"MEU","NER","BRB",TRUE,NA
"MEU","NER","BOL",TRUE,NA
"MEU","NER","CPV",TRUE,NA
"MEU","NER","DMA",TRUE,NA
"MEU","NER","ECU",TRUE,NA
"MEU","NER","GRD",TRUE,NA
"MEU","NER","LAO",TRUE,NA
"MEU","NER","MUS",TRUE,NA
"MEU","NER","MAR",TRUE,NA
"MEU","NER","LCA",TRUE,NA
"MEU","NER","SYC",TRUE,NA
"MEU","SEN","BGD",TRUE,NA
"MEU","SEN","BRB",TRUE,NA
"MEU","SEN","BOL",TRUE,NA
"MEU","SEN","CPV",TRUE,NA
"MEU","SEN","DMA",TRUE,NA
"MEU","SEN","ECU",TRUE,NA
"MEU","SEN","GRD",TRUE,NA
"MEU","SEN","LAO",TRUE,NA
"MEU","SEN","MUS",TRUE,NA
"MEU","SEN","MAR",TRUE,NA
"MEU","SEN","LCA",TRUE,NA
"MEU","SEN","SYC",TRUE,NA
"MEU","TGO","BGD",TRUE,NA
"MEU","TGO","BRB",TRUE,NA
"MEU","TGO","BOL",TRUE,NA
"MEU","TGO","CPV",TRUE,NA
"MEU","TGO","DMA",TRUE,NA
"MEU","TGO","ECU",TRUE,NA
"MEU","TGO","GRD",TRUE,NA
"MEU","TGO","LAO",TRUE,NA
"MEU","TGO","MUS",TRUE,NA
"MEU","TGO","MAR",TRUE,NA
"MEU","TGO","LCA",TRUE,NA
"MEU","TGO","SYC",TRUE,NA
"MEU","CMR","BGD",TRUE,NA
"MEU","CMR","BRB",TRUE,NA
"MEU","CMR","BOL",TRUE,NA
"MEU","CMR","CPV",TRUE,NA
"MEU","CMR","DMA",TRUE,NA
"MEU","CMR","ECU",TRUE,NA
"MEU","CMR","GRD",TRUE,NA
"MEU","CMR","LAO",TRUE,NA
"MEU","CMR","MUS",TRUE,NA
"MEU","CMR","MAR",TRUE,NA
"MEU","CMR","LCA",TRUE,NA
"MEU","CMR","SYC",TRUE,NA
"MEU","CAF","BGD",TRUE,NA
"MEU","CAF","BRB",TRUE,NA
"MEU","CAF","BOL",TRUE,NA
"MEU","CAF","CPV",TRUE,NA
"MEU","CAF","DMA",TRUE,NA
"MEU","CAF","ECU",TRUE,NA
"MEU","CAF","GRD",TRUE,NA
"MEU","CAF","LAO",TRUE,NA
"MEU","CAF","MUS",TRUE,NA
"MEU","CAF","MAR",TRUE,NA
"MEU","CAF","LCA",TRUE,NA
"MEU","CAF","SYC",TRUE,NA
"MEU","TCD","BGD",TRUE,NA
"MEU","TCD","BRB",TRUE,NA
"MEU","TCD","BOL",TRUE,NA
"MEU","TCD","CPV",TRUE,NA
"MEU","TCD","DMA",TRUE,NA
"MEU","TCD","ECU",TRUE,NA
"MEU","TCD","GRD",TRUE,NA
"MEU","TCD","LAO",TRUE,NA
"MEU","TCD","MUS",TRUE,NA
"MEU","TCD","MAR",TRUE,NA
"MEU","TCD","LCA",TRUE,NA
"MEU","TCD","SYC",TRUE,NA
"MEU","COG","BGD",TRUE,NA
"MEU","COG","BRB",TRUE,NA
"MEU","COG","BOL",TRUE,NA
"MEU","COG","CPV",TRUE,NA
"MEU","COG","DMA",TRUE,NA
"MEU","COG","ECU",TRUE,NA
"MEU","COG","GRD",TRUE,NA
"MEU","COG","LAO",TRUE,NA
"MEU","COG","MUS",TRUE,NA
"MEU","COG","MAR",TRUE,NA
