"outcome","treated_iso3c","treated_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","n_units_in_reference_distribution","placebo_rank_pvalue","outcome_label"
"XEU","SEN","Senegal",5.39350900496686,24.9558519461531,4.62701590433452,-24.2435583591203,24.2435583591203,12,0.0833333333333333,"Exports to EU (% of total exports)"
"XEU","BFA","Burkina Faso",8.86076436453004,24.4765282955027,2.76234953199784,-21.8872756228749,23.5592154955241,12,0.166666666666667,"Exports to EU (% of total exports)"
"XEU","CIV","Côte d'Ivoire",6.27781563325691,14.5280407488599,2.31418722650873,-13.8755375781011,13.8755375781011,12,0.166666666666667,"Exports to EU (% of total exports)"
"XEU","TCD","Chad",16.4344767714289,49.9027159874506,3.03646515076195,-47.2601213831789,47.4601209649917,12,0.166666666666667,"Exports to EU (% of total exports)"
"XEU","MLI","Mali",14.8455088136619,26.3439002216553,1.7745367001104,-25.8672285891071,25.8672285891071,12,0.416666666666667,"Exports to EU (% of total exports)"
"XEU","NER","Niger",12.137953736017,20.8134545567376,1.71474162856444,-18.444586851277,18.444586851277,12,0.5,"Exports to EU (% of total exports)"
"XEU","GNQ","Equatorial Guinea",29.8642460672711,32.0236936300874,1.0723087921909,-30.8151027577766,30.8151027577766,12,0.833333333333333,"Exports to EU (% of total exports)"
"XEU","BEN","Benin",20.2039268119111,16.2452842785297,0.804065686327489,-16.0536463643333,16.0536463643333,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","COG","Republic of Congo",13.2256554373021,13.6425168491801,1.03151914956912,-10.4144213550491,12.7553369497411,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","GAB","Gabon",15.3274325125001,12.9231451910741,0.843138286894089,-11.8499626556055,11.8499626556055,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","TGO","Togo",17.2585113918871,16.7840604312464,0.972509160850121,-16.1284693439346,16.1284693439346,12,0.916666666666667,"Exports to EU (% of total exports)"
"XEU","CAF","Central African Republic",22.3329667117091,16.3612085710406,0.732603454894442,-3.74354399849076,13.0771078256434,12,1,"Exports to EU (% of total exports)"
"XEU","CMR","Cameroon",14.3182865916503,6.59150880098649,0.460355976170383,-1.00680679323797,5.2605581225109,12,1,"Exports to EU (% of total exports)"
