group,country,1990-2001,2002-2021
WAEMU,Average WAEMU,1.0105,1.0245
WAEMU,Benin,1.0235,1.0352
WAEMU,Burkina Faso,1.0213,1.0213
WAEMU,Cote d'Ivoire,0.9847,1.0481
WAEMU,Guinea-Bissau,1.0112,1.0037
WAEMU,Mali,1.0615,1.0303
WAEMU,Niger,0.9934,1.0067
WAEMU,Senegal,0.9983,1.0078
WAEMU,Togo,0.9903,1.0427
CAEMC,Average CAEMC,1.0347,1.033
CAEMC,Cameroon,0.9961,1.0178
CAEMC,Central African Republic,0.9868,1.0025
CAEMC,Chad,0.9908,1.0347
CAEMC,"Congo, Rep.",1.02,1.0522
CAEMC,Equatorial Guinea,1.2073,1.0537
CAEMC,Gabon,1.0071,1.0372
Non-CFA comparison,Angola,0.9892,1.0757
Non-CFA comparison,Average Non-CFA comparison,0.9945,1.0343
Non-CFA comparison,Burundi,0.977,1.0039
Non-CFA comparison,"Congo, Dem. Rep.",0.9078,1.0381
Non-CFA comparison,Ethiopia,0.9954,1.0839
Non-CFA comparison,"Gambia, The",1.0012,0.9921
Non-CFA comparison,Ghana,1.0087,1.0323
Non-CFA comparison,Guinea,0.977,0.9955
Non-CFA comparison,Kenya,0.9972,1.0383
Non-CFA comparison,Madagascar,0.9942,1.0106
Non-CFA comparison,Malawi,0.9803,1.0229
Non-CFA comparison,Nigeria,1.0205,1.104
Non-CFA comparison,Sao Tome and Principe,1.0179,1.0284
Non-CFA comparison,Sierra Leone,0.987,1.0315
Non-CFA comparison,Sudan,1.0116,1.0402
Non-CFA comparison,Tanzania,1.0144,1.0372
Non-CFA comparison,Uganda,1.0358,1.0264
Non-CFA comparison,Zambia,0.9996,1.0526
Non-CFA comparison,Zimbabwe,0.9869,1.0036
