Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2007,2007,%,40.754436,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2008,2008,%,40.357645,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2009,2009,%,38.333846,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2010,2010,%,37.363622,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2011,2011,%,37.568994,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2012,2012,%,36.814166,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2013,2013,%,32.258883,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2014,2014,%,33.985604,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2015,2015,%,31.527332,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2016,2016,%,31.918976,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2017,2017,%,32.790167,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2018,2018,%,31.241338,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2019,2019,%,28.341832,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2020,2020,%,29.495937,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2021,2021,%,35.75533,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2022,2022,%,36.21711,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2023,2023,%,28.611056,X,Figure from external organization,
MK,Macro Indicators,CAF,Central African Republic,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",2024,2024,%,32.496195,E,Estimated value,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1970,1970,%,14.17078,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1971,1971,%,14.171465,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1972,1972,%,14.175245,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1973,1973,%,14.174894,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1974,1974,%,14.168944,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1975,1975,%,14.163352,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1976,1976,%,14.174888,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1977,1977,%,14.194149,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1978,1978,%,14.173138,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1979,1979,%,14.139191,X,Figure from external organization,
