"outcome","treated_iso3c","treated_country","donor_iso3c","donor_weight"
"trade_openness","SEN","Senegal","LAO",0
"trade_openness","SEN","Senegal","LCA",0
"trade_openness","SEN","Senegal","LSO",0
"trade_openness","SEN","Senegal","MAR",0
"trade_openness","SEN","Senegal","MUS",0
"trade_openness","SEN","Senegal","NAM",0
"trade_openness","SEN","Senegal","SWZ",0.337
"trade_openness","SEN","Senegal","SYC",0
"trade_openness","SEN","Senegal","TKM",0
"trade_openness","TGO","Togo","BGD",0.097
"trade_openness","TGO","Togo","BOL",0
"trade_openness","TGO","Togo","BRB",0.109
"trade_openness","TGO","Togo","BTN",0.433
"trade_openness","TGO","Togo","BWA",0
"trade_openness","TGO","Togo","CPV",0
"trade_openness","TGO","Togo","DMA",0
"trade_openness","TGO","Togo","ECU",0
"trade_openness","TGO","Togo","GRD",0
"trade_openness","TGO","Togo","GUY",0
"trade_openness","TGO","Togo","IRQ",0.001
"trade_openness","TGO","Togo","KNA",0
"trade_openness","TGO","Togo","LAO",0.082
"trade_openness","TGO","Togo","LCA",0
"trade_openness","TGO","Togo","LSO",0.208
"trade_openness","TGO","Togo","MAR",0
"trade_openness","TGO","Togo","MUS",0.071
"trade_openness","TGO","Togo","NAM",0
"trade_openness","TGO","Togo","SWZ",0
"trade_openness","TGO","Togo","SYC",0
"trade_openness","TGO","Togo","TKM",0
"trade_openness","CMR","Cameroon","BGD",0
"trade_openness","CMR","Cameroon","BOL",0
"trade_openness","CMR","Cameroon","BRB",0.189
"trade_openness","CMR","Cameroon","BTN",0
"trade_openness","CMR","Cameroon","BWA",0
"trade_openness","CMR","Cameroon","CPV",0
"trade_openness","CMR","Cameroon","DMA",0
"trade_openness","CMR","Cameroon","ECU",0
"trade_openness","CMR","Cameroon","GRD",0
"trade_openness","CMR","Cameroon","GUY",0
"trade_openness","CMR","Cameroon","IRQ",0.082
"trade_openness","CMR","Cameroon","KNA",0
"trade_openness","CMR","Cameroon","LAO",0
"trade_openness","CMR","Cameroon","LCA",0
