"outcome","treated_iso3c","treated_country","predictor","Treated","Synthetic","Sample Mean"
"XEU","CMR","Cameroon","polity2",-6,-5.066,1.403
"XEU","CMR","Cameroon","special.outcome_selected.1981.2001",68.488,58.732,23.535
"XEU","CMR","Cameroon","special.outcome_selected.1981",47.432,60.493,21.981
"XEU","CMR","Cameroon","special.outcome_selected.1990",67.502,62.926,26.29
"XEU","CMR","Cameroon","special.outcome_selected.1995",74.712,56.522,24.262
"XEU","CMR","Cameroon","special.outcome_selected.2001",67.258,67.608,23.594
"XEU","CAF","Central African Republic","agriculture",37.869,13.74,16.216
"XEU","CAF","Central African Republic","govt_share",0.223,0.193,0.218
"XEU","CAF","Central African Republic","invest_share",0.12,0.244,0.186
"XEU","CAF","Central African Republic","oda_share",41521332.154,51394523.93,58333238.385
"XEU","CAF","Central African Republic","fdi",0.371,1.212,2.815
"XEU","CAF","Central African Republic","labour",39.547,31.185,35.676
"XEU","CAF","Central African Republic","polity2",-1.762,-5.307,1.403
"XEU","CAF","Central African Republic","special.outcome_selected.1981.2001",74.813,58.517,23.535
"XEU","CAF","Central African Republic","special.outcome_selected.1981",65.835,59.802,21.981
"XEU","CAF","Central African Republic","special.outcome_selected.1990",35.056,62.322,26.29
"XEU","CAF","Central African Republic","special.outcome_selected.1995",56.212,56.313,24.262
"XEU","CAF","Central African Republic","special.outcome_selected.2001",83.367,67.21,23.594
"XEU","TCD","Chad","agriculture",35.852,13.829,16.216
"XEU","TCD","Chad","govt_share",0.062,0.196,0.218
"XEU","TCD","Chad","invest_share",0.072,0.191,0.186
"XEU","TCD","Chad","oda_share",88735068.384,59803062.311,58333238.385
"XEU","TCD","Chad","fdi",2.89,1.112,2.815
"XEU","TCD","Chad","labour",38.914,30.806,35.676
"XEU","TCD","Chad","polity2",-2.667,-7.012,1.403
"XEU","TCD","Chad","special.outcome_selected.1981.2001",67.175,57.002,23.535
"XEU","TCD","Chad","special.outcome_selected.1981",58.969,54.922,21.981
"XEU","TCD","Chad","special.outcome_selected.1990",73.137,58.051,26.29
"XEU","TCD","Chad","special.outcome_selected.1995",76.564,54.839,24.262
"XEU","TCD","Chad","special.outcome_selected.2001",67.354,64.394,23.594
"XEU","COG","Republic of Congo","agriculture",9.751,9.942,16.216
"XEU","COG","Republic of Congo","govt_share",0.432,0.229,0.218
"XEU","COG","Republic of Congo","invest_share",0.175,0.184,0.186
"XEU","COG","Republic of Congo","oda_share",15661058.487,6821654.056,58333238.385
"XEU","COG","Republic of Congo","fdi",0.493,2.972,2.815
"XEU","COG","Republic of Congo","labour",32.101,33.251,35.676
"XEU","COG","Republic of Congo","polity2",-4.048,4.262,1.403
"XEU","COG","Republic of Congo","special.outcome_selected.1981.2001",37.848,35.856,23.535
"XEU","COG","Republic of Congo","special.outcome_selected.1981",54.167,36.458,21.981
"XEU","COG","Republic of Congo","special.outcome_selected.1990",53.524,40.217,26.29
"XEU","COG","Republic of Congo","special.outcome_selected.1995",48.145,33.7,24.262
"XEU","COG","Republic of Congo","special.outcome_selected.2001",9.761,29.621,23.594
"XEU","GAB","Gabon","agriculture",7.637,10.549,16.216
"XEU","GAB","Gabon","govt_share",0.151,0.282,0.218
"XEU","GAB","Gabon","invest_share",0.118,0.222,0.186
"XEU","GAB","Gabon","oda_share",1900630.118,17785868.185,58333238.385
"XEU","GAB","Gabon","fdi",0.595,4.531,2.815
"XEU","GAB","Gabon","labour",30.527,31.017,35.676
"XEU","GAB","Gabon","polity2",-6.238,-2.071,1.403
"XEU","GAB","Gabon","special.outcome_selected.1981.2001",36.828,36.41,23.535
"XEU","GAB","Gabon","special.outcome_selected.1981",49.284,39.966,21.981
"XEU","GAB","Gabon","special.outcome_selected.1990",45.606,39.25,26.29
"XEU","GAB","Gabon","special.outcome_selected.1995",19.489,32.328,24.262
"XEU","GAB","Gabon","special.outcome_selected.2001",18.866,28.69,23.594
"XEU","GNQ","Equatorial Guinea","agriculture",10.769,13.846,16.216
"XEU","GNQ","Equatorial Guinea","govt_share",0.392,0.197,0.218
"XEU","GNQ","Equatorial Guinea","invest_share",0.103,0.181,0.186
"XEU","GNQ","Equatorial Guinea","oda_share",13316174.537,61386311.488,58333238.385
"XEU","GNQ","Equatorial Guinea","fdi",26.046,1.094,2.815
"XEU","GNQ","Equatorial Guinea","labour",32.469,30.734,35.676
"XEU","GNQ","Equatorial Guinea","polity2",-6.429,-7.333,1.403
"XEU","GNQ","Equatorial Guinea","special.outcome_selected.1981.2001",69.749,56.717,23.535
"XEU","GNQ","Equatorial Guinea","special.outcome_selected.1981",97.718,54.003,21.981
"XEU","GNQ","Equatorial Guinea","special.outcome_selected.1990",93.266,57.247,26.29
"XEU","GNQ","Equatorial Guinea","special.outcome_selected.1995",26.445,54.562,24.262
"XEU","GNQ","Equatorial Guinea","special.outcome_selected.2001",39.196,63.864,23.594
"MEU","BEN","Benin","agriculture",32.7,16.503,15.232
"MEU","BEN","Benin","govt_share",0.173,0.199,0.232
"MEU","BEN","Benin","invest_share",0.132,0.283,0.209
"MEU","BEN","Benin","oda_share",58008396.331,54561613.336,53508604.243
"MEU","BEN","Benin","fdi",-0.108,1.874,3.111
"MEU","BEN","Benin","labour",35.415,35.194,36.628
"MEU","BEN","Benin","polity2",0.095,0.249,1.286
"MEU","BEN","Benin","special.outcome_selected.1981.2001",42.486,42.38,19.488
"MEU","BEN","Benin","special.outcome_selected.1981",43.658,43.806,19.662
"MEU","BEN","Benin","special.outcome_selected.1990",29.3,43.094,20.298
"MEU","BEN","Benin","special.outcome_selected.1995",45.978,44.907,19.303
"MEU","BEN","Benin","special.outcome_selected.2001",40.318,45.419,18.66
"MEU","BFA","Burkina Faso","agriculture",29.972,17.588,15.232
"MEU","BFA","Burkina Faso","govt_share",0.116,0.199,0.232
"MEU","BFA","Burkina Faso","invest_share",0.152,0.229,0.209
"MEU","BFA","Burkina Faso","oda_share",125622814.421,50489885.086,53508604.243
