"outcome","treated_iso3c","treated_country","predictor","Treated","Synthetic","Sample Mean"
"trade_openness","TGO","Togo","invest_share",0.19,0.397,0.245
"trade_openness","TGO","Togo","oda_share",30775463.654,40827120.836,65766998.595
"trade_openness","TGO","Togo","fdi",0.543,1.465,2.138
"trade_openness","TGO","Togo","labour",40.022,32.309,33.427
"trade_openness","TGO","Togo","polity2",-4.667,-0.073,1.298
"trade_openness","TGO","Togo","special.outcome_selected.1981.2001",73.027,74.283,79.393
"trade_openness","TGO","Togo","special.outcome_selected.1981",95.814,80.251,81.534
"trade_openness","TGO","Togo","special.outcome_selected.1990",59.766,75.161,72.185
"trade_openness","TGO","Togo","special.outcome_selected.1995",55.602,68.833,75.835
"trade_openness","TGO","Togo","special.outcome_selected.2001",51.394,79.641,96.718
"trade_openness","CMR","Cameroon","agriculture",21.849,16.976,16.152
"trade_openness","CMR","Cameroon","govt_share",0.165,0.183,0.22
"trade_openness","CMR","Cameroon","invest_share",0.127,0.174,0.245
"trade_openness","CMR","Cameroon","oda_share",44162037.211,153236151.95,65766998.595
"trade_openness","CMR","Cameroon","fdi",0.706,0.817,2.138
"trade_openness","CMR","Cameroon","labour",40.356,30.247,33.427
"trade_openness","CMR","Cameroon","polity2",-6,-5.756,1.298
"trade_openness","CMR","Cameroon","special.outcome_selected.1981.2001",44.706,45.704,79.393
"trade_openness","CMR","Cameroon","special.outcome_selected.1981",50.281,51.364,81.534
"trade_openness","CMR","Cameroon","special.outcome_selected.1990",37.496,44.559,72.185
"trade_openness","CMR","Cameroon","special.outcome_selected.1995",36.682,43.546,75.835
"trade_openness","CMR","Cameroon","special.outcome_selected.2001",51.572,53.249,96.718
"trade_openness","CAF","Central African Republic","agriculture",37.869,15.127,16.152
"trade_openness","CAF","Central African Republic","govt_share",0.223,0.224,0.22
"trade_openness","CAF","Central African Republic","invest_share",0.12,0.143,0.245
"trade_openness","CAF","Central African Republic","oda_share",41521332.154,65549267.667,65766998.595
"trade_openness","CAF","Central African Republic","fdi",0.371,2.313,2.138
"trade_openness","CAF","Central African Republic","labour",39.547,36.725,33.427
"trade_openness","CAF","Central African Republic","polity2",-1.762,0.889,1.298
"trade_openness","CAF","Central African Republic","special.outcome_selected.1981.2001",48.678,49.069,79.393
"trade_openness","CAF","Central African Republic","special.outcome_selected.1981",58.443,50.684,81.534
"trade_openness","CAF","Central African Republic","special.outcome_selected.1990",42.943,49.665,72.185
"trade_openness","CAF","Central African Republic","special.outcome_selected.1995",50.476,50.154,75.835
"trade_openness","CAF","Central African Republic","special.outcome_selected.2001",39.73,48.666,96.718
"trade_openness","TCD","Chad","agriculture",35.852,23.99,16.152
"trade_openness","TCD","Chad","govt_share",0.062,0.141,0.22
"trade_openness","TCD","Chad","invest_share",0.072,0.136,0.245
"trade_openness","TCD","Chad","oda_share",88735068.384,345783462.785,65766998.595
"trade_openness","TCD","Chad","fdi",2.89,0.291,2.138
"trade_openness","TCD","Chad","labour",38.914,32.212,33.427
"trade_openness","TCD","Chad","polity2",-2.667,2.358,1.298
"trade_openness","TCD","Chad","special.outcome_selected.1981.2001",45.115,44.549,79.393
"trade_openness","TCD","Chad","special.outcome_selected.1981",37.762,37.881,81.534
"trade_openness","TCD","Chad","special.outcome_selected.1990",41.387,45.768,72.185
"trade_openness","TCD","Chad","special.outcome_selected.1995",55.697,48.829,75.835
"trade_openness","TCD","Chad","special.outcome_selected.2001",64.322,54,96.718
"trade_openness","COG","Republic of Congo","agriculture",9.751,12.451,16.152
"trade_openness","COG","Republic of Congo","govt_share",0.432,0.239,0.22
"trade_openness","COG","Republic of Congo","invest_share",0.175,0.24,0.245
"trade_openness","COG","Republic of Congo","oda_share",15661058.487,47347522.848,65766998.595
"trade_openness","COG","Republic of Congo","fdi",0.493,2.76,2.138
"trade_openness","COG","Republic of Congo","labour",32.101,30.779,33.427
"trade_openness","COG","Republic of Congo","polity2",-4.048,0.726,1.298
"trade_openness","COG","Republic of Congo","special.outcome_selected.1981.2001",107.518,104.875,79.393
"trade_openness","COG","Republic of Congo","special.outcome_selected.1981",134.115,118.231,81.534
"trade_openness","COG","Republic of Congo","special.outcome_selected.1990",70.819,86.247,72.185
"trade_openness","COG","Republic of Congo","special.outcome_selected.1995",128.313,91.421,75.835
"trade_openness","COG","Republic of Congo","special.outcome_selected.2001",130.732,127.733,96.718
"trade_openness","GAB","Gabon","agriculture",7.637,9.407,16.152
"trade_openness","GAB","Gabon","govt_share",0.151,0.239,0.22
"trade_openness","GAB","Gabon","invest_share",0.118,0.217,0.245
"trade_openness","GAB","Gabon","oda_share",1900630.118,23077172.838,65766998.595
"trade_openness","GAB","Gabon","fdi",0.595,2.268,2.138
"trade_openness","GAB","Gabon","labour",30.527,31.72,33.427
"trade_openness","GAB","Gabon","polity2",-6.238,2.243,1.298
"trade_openness","GAB","Gabon","special.outcome_selected.1981.2001",93.41,92.687,79.393
"trade_openness","GAB","Gabon","special.outcome_selected.1981",104.059,105.901,81.534
"trade_openness","GAB","Gabon","special.outcome_selected.1990",76.897,88.349,72.185
"trade_openness","GAB","Gabon","special.outcome_selected.1995",95.135,85.978,75.835
"trade_openness","GAB","Gabon","special.outcome_selected.2001",83.639,94.686,96.718
"exports_gdp","BEN","Benin","agriculture",32.7,24.696,16.152
"exports_gdp","BEN","Benin","govt_share",0.173,0.182,0.22
"exports_gdp","BEN","Benin","invest_share",0.132,0.172,0.245
"exports_gdp","BEN","Benin","oda_share",58008396.331,249527544.941,65766998.595
"exports_gdp","BEN","Benin","fdi",-0.108,1.254,2.138
"exports_gdp","BEN","Benin","labour",35.415,33.512,33.427
"exports_gdp","BEN","Benin","polity2",0.095,0.153,1.298
"exports_gdp","BEN","Benin","special.outcome_selected.1981.2001",20.751,20.734,34.26
"exports_gdp","BEN","Benin","special.outcome_selected.1981",15.931,18.119,30.423
"exports_gdp","BEN","Benin","special.outcome_selected.1990",19.181,18.813,30.776
"exports_gdp","BEN","Benin","special.outcome_selected.1995",27.369,25.213,33.238
"exports_gdp","BEN","Benin","special.outcome_selected.2001",19.869,23.646,44.906
"exports_gdp","BFA","Burkina Faso","agriculture",29.972,25.896,16.152
"exports_gdp","BFA","Burkina Faso","govt_share",0.116,0.157,0.22
"exports_gdp","BFA","Burkina Faso","invest_share",0.152,0.13,0.245
"exports_gdp","BFA","Burkina Faso","oda_share",125622814.421,374132022.989,65766998.595
"exports_gdp","BFA","Burkina Faso","fdi",0.236,0.781,2.138
"exports_gdp","BFA","Burkina Faso","labour",44.33,33.501,33.427
"exports_gdp","BFA","Burkina Faso","polity2",-5.524,1.975,1.298
"exports_gdp","BFA","Burkina Faso","special.outcome_selected.1981.2001",10.206,10.634,34.26
"exports_gdp","BFA","Burkina Faso","special.outcome_selected.1981",9.276,8.857,30.423
"exports_gdp","BFA","Burkina Faso","special.outcome_selected.1990",10.967,9.375,30.776
"exports_gdp","BFA","Burkina Faso","special.outcome_selected.1995",14.141,13.266,33.238
"exports_gdp","BFA","Burkina Faso","special.outcome_selected.2001",9.044,14.74,44.906
"exports_gdp","CIV","Côte d'Ivoire","agriculture",24.739,13.124,16.152
"exports_gdp","CIV","Côte d'Ivoire","govt_share",0.19,0.198,0.22
"exports_gdp","CIV","Côte d'Ivoire","invest_share",0.069,0.15,0.245
"exports_gdp","CIV","Côte d'Ivoire","oda_share",62006783.003,65877469.872,65766998.595
"exports_gdp","CIV","Côte d'Ivoire","fdi",1.084,2.349,2.138
"exports_gdp","CIV","Côte d'Ivoire","labour",32.908,31.679,33.427
"exports_gdp","CIV","Côte d'Ivoire","polity2",-6.238,6.136,1.298
"exports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1981.2001",33.754,33.716,34.26
"exports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1981",35.175,39.725,30.423
"exports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1990",31.69,32.563,30.776
"exports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1995",41.759,33.594,33.238
"exports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.2001",27.47,30.937,44.906
"exports_gdp","MLI","Mali","agriculture",35.121,22.372,16.152
"exports_gdp","MLI","Mali","govt_share",0.276,0.167,0.22
"exports_gdp","MLI","Mali","invest_share",0.103,0.151,0.245
"exports_gdp","MLI","Mali","oda_share",128499263.951,285779744.667,65766998.595
"exports_gdp","MLI","Mali","fdi",0.743,0.713,2.138
"exports_gdp","MLI","Mali","labour",30.635,31.788,33.427
"exports_gdp","MLI","Mali","polity2",-1.238,-1.31,1.298
"exports_gdp","MLI","Mali","special.outcome_selected.1981.2001",14.391,14.439,34.26
"exports_gdp","MLI","Mali","special.outcome_selected.1981",8.967,12.959,30.423
"exports_gdp","MLI","Mali","special.outcome_selected.1990",12.922,13.353,30.776
"exports_gdp","MLI","Mali","special.outcome_selected.1995",15.694,15.306,33.238
"exports_gdp","MLI","Mali","special.outcome_selected.2001",21.268,19.405,44.906
"exports_gdp","NER","Niger","agriculture",35.395,19.698,16.152
"exports_gdp","NER","Niger","govt_share",0.246,0.212,0.22
"exports_gdp","NER","Niger","invest_share",0.126,0.123,0.245
"exports_gdp","NER","Niger","oda_share",107937703.746,179864155.69,65766998.595
"exports_gdp","NER","Niger","fdi",0.26,2.367,2.138
"exports_gdp","NER","Niger","labour",41.966,38.559,33.427
"exports_gdp","NER","Niger","polity2",-1.81,5.511,1.298
"exports_gdp","NER","Niger","special.outcome_selected.1981.2001",16.474,17.176,34.26
"exports_gdp","NER","Niger","special.outcome_selected.1981",24.156,17.52,30.423
"exports_gdp","NER","Niger","special.outcome_selected.1990",15.069,17.381,30.776
"exports_gdp","NER","Niger","special.outcome_selected.1995",14.538,18.794,33.238
"exports_gdp","NER","Niger","special.outcome_selected.2001",13.456,18.019,44.906
"exports_gdp","SEN","Senegal","agriculture",18.993,18.845,16.152
"exports_gdp","SEN","Senegal","govt_share",0.196,0.215,0.22
"exports_gdp","SEN","Senegal","invest_share",0.062,0.125,0.245
"exports_gdp","SEN","Senegal","oda_share",70979836.861,161334246.245,65766998.595
"exports_gdp","SEN","Senegal","fdi",0.617,2.338,2.138
"exports_gdp","SEN","Senegal","labour",32.619,38.021,33.427
"exports_gdp","SEN","Senegal","polity2",-0.143,4.562,1.298
"exports_gdp","SEN","Senegal","special.outcome_selected.1981.2001",18.147,18.171,34.26
"exports_gdp","SEN","Senegal","special.outcome_selected.1981",21.349,18.658,30.423
"exports_gdp","SEN","Senegal","special.outcome_selected.1990",17.056,18.185,30.776
"exports_gdp","SEN","Senegal","special.outcome_selected.1995",20.657,19.043,33.238
"exports_gdp","SEN","Senegal","special.outcome_selected.2001",17.701,19.566,44.906
"exports_gdp","TGO","Togo","agriculture",23.36,12.203,16.152
"exports_gdp","TGO","Togo","govt_share",0.162,0.232,0.22
"exports_gdp","TGO","Togo","invest_share",0.19,0.144,0.245
"exports_gdp","TGO","Togo","oda_share",30775463.654,32091816.528,65766998.595
"exports_gdp","TGO","Togo","fdi",0.543,2.83,2.138
"exports_gdp","TGO","Togo","labour",40.022,35.966,33.427
"exports_gdp","TGO","Togo","polity2",-4.667,7.25,1.298
"exports_gdp","TGO","Togo","special.outcome_selected.1981.2001",31.991,33.552,34.26
"exports_gdp","TGO","Togo","special.outcome_selected.1981",40.078,36.521,30.423
"exports_gdp","TGO","Togo","special.outcome_selected.1990",26.243,33.324,30.776
"exports_gdp","TGO","Togo","special.outcome_selected.1995",22.757,32.92,33.238
"exports_gdp","TGO","Togo","special.outcome_selected.2001",20.51,30.097,44.906
"exports_gdp","CMR","Cameroon","agriculture",21.849,15.002,16.152
"exports_gdp","CMR","Cameroon","govt_share",0.165,0.231,0.22
"exports_gdp","CMR","Cameroon","invest_share",0.127,0.144,0.245
"exports_gdp","CMR","Cameroon","oda_share",44162037.211,60369659.433,65766998.595
"exports_gdp","CMR","Cameroon","fdi",0.706,2.595,2.138
"exports_gdp","CMR","Cameroon","labour",40.356,37.677,33.427
"exports_gdp","CMR","Cameroon","polity2",-6,2.781,1.298
"exports_gdp","CMR","Cameroon","special.outcome_selected.1981.2001",23.418,22.315,34.26
"exports_gdp","CMR","Cameroon","special.outcome_selected.1981",21.867,23.541,30.423
"exports_gdp","CMR","Cameroon","special.outcome_selected.1990",20.183,22.463,30.776
"exports_gdp","CMR","Cameroon","special.outcome_selected.1995",21.618,21.431,33.238
"exports_gdp","CMR","Cameroon","special.outcome_selected.2001",25.261,24.063,44.906
"exports_gdp","CAF","Central African Republic","agriculture",37.869,17.397,16.152
"exports_gdp","CAF","Central African Republic","govt_share",0.223,0.23,0.22
"exports_gdp","CAF","Central African Republic","invest_share",0.12,0.136,0.245
"exports_gdp","CAF","Central African Republic","oda_share",41521332.154,102558299.481,65766998.595
"exports_gdp","CAF","Central African Republic","fdi",0.371,2.526,2.138
"exports_gdp","CAF","Central African Republic","labour",39.547,38.487,33.427
"exports_gdp","CAF","Central African Republic","polity2",-1.762,3.928,1.298
"exports_gdp","CAF","Central African Republic","special.outcome_selected.1981.2001",20.581,20.606,34.26
"exports_gdp","CAF","Central African Republic","special.outcome_selected.1981",24.383,21.216,30.423
"exports_gdp","CAF","Central African Republic","special.outcome_selected.1990",17.067,20.652,30.776
"exports_gdp","CAF","Central African Republic","special.outcome_selected.1995",22.221,20.957,33.238
"exports_gdp","CAF","Central African Republic","special.outcome_selected.2001",17.157,21.923,44.906
"exports_gdp","TCD","Chad","agriculture",35.852,22.806,16.152
"exports_gdp","TCD","Chad","govt_share",0.062,0.173,0.22
"exports_gdp","TCD","Chad","invest_share",0.072,0.163,0.245
"exports_gdp","TCD","Chad","oda_share",88735068.384,265533225.849,65766998.595
"exports_gdp","TCD","Chad","fdi",2.89,0.658,2.138
"exports_gdp","TCD","Chad","labour",38.914,32.236,33.427
"exports_gdp","TCD","Chad","polity2",-2.667,-2.401,1.298
"exports_gdp","TCD","Chad","special.outcome_selected.1981.2001",15.142,15.192,34.26
"exports_gdp","TCD","Chad","special.outcome_selected.1981",15.1,13.081,30.423
"exports_gdp","TCD","Chad","special.outcome_selected.1990",13.48,14.854,30.776
"exports_gdp","TCD","Chad","special.outcome_selected.1995",21.929,17.528,33.238
"exports_gdp","TCD","Chad","special.outcome_selected.2001",14.666,18.711,44.906
"exports_gdp","COG","Republic of Congo","agriculture",9.751,15.526,16.152
"exports_gdp","COG","Republic of Congo","govt_share",0.432,0.217,0.22
"exports_gdp","COG","Republic of Congo","invest_share",0.175,0.226,0.245
"exports_gdp","COG","Republic of Congo","oda_share",15661058.487,55373345.685,65766998.595
"exports_gdp","COG","Republic of Congo","fdi",0.493,2.851,2.138
"exports_gdp","COG","Republic of Congo","labour",32.101,29.069,33.427
"exports_gdp","COG","Republic of Congo","polity2",-4.048,-0.297,1.298
"exports_gdp","COG","Republic of Congo","special.outcome_selected.1981.2001",57.66,55.372,34.26
"exports_gdp","COG","Republic of Congo","special.outcome_selected.1981",58.021,49.942,30.423
"exports_gdp","COG","Republic of Congo","special.outcome_selected.1990",51.777,42.888,30.776
"exports_gdp","COG","Republic of Congo","special.outcome_selected.1995",64.705,50.805,33.238
"exports_gdp","COG","Republic of Congo","special.outcome_selected.2001",77.42,67.526,44.906
"exports_gdp","GAB","Gabon","agriculture",7.637,13.201,16.152
"exports_gdp","GAB","Gabon","govt_share",0.151,0.187,0.22
"exports_gdp","GAB","Gabon","invest_share",0.118,0.198,0.245
"exports_gdp","GAB","Gabon","oda_share",1900630.118,21355203.317,65766998.595
"exports_gdp","GAB","Gabon","fdi",0.595,2.757,2.138
"exports_gdp","GAB","Gabon","labour",30.527,26.874,33.427
"exports_gdp","GAB","Gabon","polity2",-6.238,3.286,1.298
"exports_gdp","GAB","Gabon","special.outcome_selected.1981.2001",53.899,52.476,34.26
"exports_gdp","GAB","Gabon","special.outcome_selected.1981",63.364,55.749,30.423
"exports_gdp","GAB","Gabon","special.outcome_selected.1990",46.039,45.093,30.776
"exports_gdp","GAB","Gabon","special.outcome_selected.1995",59.387,52.214,33.238
"exports_gdp","GAB","Gabon","special.outcome_selected.2001",54.275,54.525,44.906
"imports_gdp","BEN","Benin","agriculture",32.7,19.601,16.152
"imports_gdp","BEN","Benin","govt_share",0.173,0.195,0.22
"imports_gdp","BEN","Benin","invest_share",0.132,0.201,0.245
"imports_gdp","BEN","Benin","oda_share",58008396.331,136699019.542,65766998.595
"imports_gdp","BEN","Benin","fdi",-0.108,0.841,2.138
"imports_gdp","BEN","Benin","labour",35.415,31.13,33.427
"imports_gdp","BEN","Benin","polity2",0.095,-3.513,1.298
"imports_gdp","BEN","Benin","special.outcome_selected.1981.2001",32.382,32.542,45.133
"imports_gdp","BEN","Benin","special.outcome_selected.1981",43.959,38.681,51.111
"imports_gdp","BEN","Benin","special.outcome_selected.1990",26.539,30.229,41.409
"imports_gdp","BEN","Benin","special.outcome_selected.1995",36.431,32.641,42.597
"imports_gdp","BEN","Benin","special.outcome_selected.2001",28.389,32.599,51.812
"imports_gdp","BFA","Burkina Faso","agriculture",29.972,20.315,16.152
"imports_gdp","BFA","Burkina Faso","govt_share",0.116,0.188,0.22
"imports_gdp","BFA","Burkina Faso","invest_share",0.152,0.187,0.245
"imports_gdp","BFA","Burkina Faso","oda_share",125622814.421,175180636.142,65766998.595
"imports_gdp","BFA","Burkina Faso","fdi",0.236,0.671,2.138
"imports_gdp","BFA","Burkina Faso","labour",44.33,31.726,33.427
"imports_gdp","BFA","Burkina Faso","polity2",-5.524,-5.292,1.298
"imports_gdp","BFA","Burkina Faso","special.outcome_selected.1981.2001",26.573,26.581,45.133
"imports_gdp","BFA","Burkina Faso","special.outcome_selected.1981",31.435,30.339,51.111
"imports_gdp","BFA","Burkina Faso","special.outcome_selected.1990",24.456,25.286,41.409
"imports_gdp","BFA","Burkina Faso","special.outcome_selected.1995",26.607,27.288,42.597
"imports_gdp","BFA","Burkina Faso","special.outcome_selected.2001",22.614,27.311,51.812
"imports_gdp","CIV","Côte d'Ivoire","agriculture",24.739,15.394,16.152
"imports_gdp","CIV","Côte d'Ivoire","govt_share",0.19,0.195,0.22
"imports_gdp","CIV","Côte d'Ivoire","invest_share",0.069,0.171,0.245
"imports_gdp","CIV","Côte d'Ivoire","oda_share",62006783.003,131510702.972,65766998.595
"imports_gdp","CIV","Côte d'Ivoire","fdi",1.084,1.2,2.138
"imports_gdp","CIV","Côte d'Ivoire","labour",32.908,31.439,33.427
"imports_gdp","CIV","Côte d'Ivoire","polity2",-6.238,-1.574,1.298
"imports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1981.2001",29.866,30.474,45.133
"imports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1981",42.284,37.794,51.111
"imports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1990",27.112,31.003,41.409
"imports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.1995",34.443,30.492,42.597
"imports_gdp","CIV","Côte d'Ivoire","special.outcome_selected.2001",25.644,29.414,51.812
"imports_gdp","MLI","Mali","agriculture",35.121,28.174,16.152
"imports_gdp","MLI","Mali","govt_share",0.276,0.2,0.22
"imports_gdp","MLI","Mali","invest_share",0.103,0.218,0.245
"imports_gdp","MLI","Mali","oda_share",128499263.951,248816119.143,65766998.595
"imports_gdp","MLI","Mali","fdi",0.743,0.247,2.138
"imports_gdp","MLI","Mali","labour",30.635,33.669,33.427
"imports_gdp","MLI","Mali","polity2",-1.238,-1.92,1.298
"imports_gdp","MLI","Mali","special.outcome_selected.1981.2001",26.388,26.281,45.133
"imports_gdp","MLI","Mali","special.outcome_selected.1981",19.598,26.339,51.111
"imports_gdp","MLI","Mali","special.outcome_selected.1990",25.537,20.919,41.409
"imports_gdp","MLI","Mali","special.outcome_selected.1995",29.387,27.304,42.597
"imports_gdp","MLI","Mali","special.outcome_selected.2001",28.056,29.011,51.812
"imports_gdp","NER","Niger","agriculture",35.395,22.151,16.152
"imports_gdp","NER","Niger","govt_share",0.246,0.171,0.22
"imports_gdp","NER","Niger","invest_share",0.126,0.155,0.245
"imports_gdp","NER","Niger","oda_share",107937703.746,333207864.529,65766998.595
"imports_gdp","NER","Niger","fdi",0.26,0.589,2.138
"imports_gdp","NER","Niger","labour",41.966,31.82,33.427
"imports_gdp","NER","Niger","polity2",-1.81,2.22,1.298
"imports_gdp","NER","Niger","special.outcome_selected.1981.2001",23.052,23.814,45.133
"imports_gdp","NER","Niger","special.outcome_selected.1981",36.201,29.882,51.111
"imports_gdp","NER","Niger","special.outcome_selected.1990",20.548,23.145,41.409
"imports_gdp","NER","Niger","special.outcome_selected.1995",20.239,24.598,42.597
"imports_gdp","NER","Niger","special.outcome_selected.2001",19.558,24.246,51.812
"imports_gdp","SEN","Senegal","agriculture",18.993,19.142,16.152
"imports_gdp","SEN","Senegal","govt_share",0.196,0.204,0.22
"imports_gdp","SEN","Senegal","invest_share",0.062,0.187,0.245
"imports_gdp","SEN","Senegal","oda_share",70979836.861,224657137.613,65766998.595
"imports_gdp","SEN","Senegal","fdi",0.617,0.82,2.138
"imports_gdp","SEN","Senegal","labour",32.619,32.467,33.427
"imports_gdp","SEN","Senegal","polity2",-0.143,1.566,1.298
"imports_gdp","SEN","Senegal","special.outcome_selected.1981.2001",31.451,31.302,45.133
"imports_gdp","SEN","Senegal","special.outcome_selected.1981",44.503,40.931,51.111
"imports_gdp","SEN","Senegal","special.outcome_selected.1990",27.733,29.529,41.409
"imports_gdp","SEN","Senegal","special.outcome_selected.1995",32.069,30.153,42.597
"imports_gdp","SEN","Senegal","special.outcome_selected.2001",32.02,29.918,51.812
"imports_gdp","TGO","Togo","agriculture",23.36,8.723,16.152
"imports_gdp","TGO","Togo","govt_share",0.162,0.243,0.22
"imports_gdp","TGO","Togo","invest_share",0.19,0.198,0.245
"imports_gdp","TGO","Togo","oda_share",30775463.654,31148574.64,65766998.595
"imports_gdp","TGO","Togo","fdi",0.543,1.584,2.138
"imports_gdp","TGO","Togo","labour",40.022,32.284,33.427
"imports_gdp","TGO","Togo","polity2",-4.667,1.532,1.298
"imports_gdp","TGO","Togo","special.outcome_selected.1981.2001",41.035,40.842,45.133
"imports_gdp","TGO","Togo","special.outcome_selected.1981",55.736,57.156,51.111
"imports_gdp","TGO","Togo","special.outcome_selected.1990",33.523,42.018,41.409
"imports_gdp","TGO","Togo","special.outcome_selected.1995",32.844,37.969,42.597
"imports_gdp","TGO","Togo","special.outcome_selected.2001",30.885,34.621,51.812
"imports_gdp","CMR","Cameroon","agriculture",21.849,20.739,16.152
"imports_gdp","CMR","Cameroon","govt_share",0.165,0.166,0.22
"imports_gdp","CMR","Cameroon","invest_share",0.127,0.165,0.245
"imports_gdp","CMR","Cameroon","oda_share",44162037.211,260687659.64,65766998.595
"imports_gdp","CMR","Cameroon","fdi",0.706,0.51,2.138
"imports_gdp","CMR","Cameroon","labour",40.356,29.901,33.427
"imports_gdp","CMR","Cameroon","polity2",-6,-3.829,1.298
"imports_gdp","CMR","Cameroon","special.outcome_selected.1981.2001",21.288,21.939,45.133
"imports_gdp","CMR","Cameroon","special.outcome_selected.1981",28.414,27.934,51.111
"imports_gdp","CMR","Cameroon","special.outcome_selected.1990",17.314,19.55,41.409
"imports_gdp","CMR","Cameroon","special.outcome_selected.1995",15.064,20.357,42.597
"imports_gdp","CMR","Cameroon","special.outcome_selected.2001",26.311,27.247,51.812
"imports_gdp","CAF","Central African Republic","agriculture",37.869,17.604,16.152
"imports_gdp","CAF","Central African Republic","govt_share",0.223,0.191,0.22
"imports_gdp","CAF","Central African Republic","invest_share",0.12,0.169,0.245
"imports_gdp","CAF","Central African Republic","oda_share",41521332.154,208845316.868,65766998.595
"imports_gdp","CAF","Central African Republic","fdi",0.371,0.902,2.138
"imports_gdp","CAF","Central African Republic","labour",39.547,31.64,33.427
"imports_gdp","CAF","Central African Republic","polity2",-1.762,-0.329,1.298
"imports_gdp","CAF","Central African Republic","special.outcome_selected.1981.2001",28.097,28.147,45.133
"imports_gdp","CAF","Central African Republic","special.outcome_selected.1981",34.06,36.017,51.111
"imports_gdp","CAF","Central African Republic","special.outcome_selected.1990",25.876,28.303,41.409
"imports_gdp","CAF","Central African Republic","special.outcome_selected.1995",28.255,28.137,42.597
"imports_gdp","CAF","Central African Republic","special.outcome_selected.2001",22.573,27.105,51.812
"imports_gdp","TCD","Chad","agriculture",35.852,18.551,16.152
"imports_gdp","TCD","Chad","govt_share",0.062,0.204,0.22
"imports_gdp","TCD","Chad","invest_share",0.072,0.174,0.245
"imports_gdp","TCD","Chad","oda_share",88735068.384,91156947.44,65766998.595
"imports_gdp","TCD","Chad","fdi",2.89,0.987,2.138
"imports_gdp","TCD","Chad","labour",38.914,33.19,33.427
"imports_gdp","TCD","Chad","polity2",-2.667,7.459,1.298
"imports_gdp","TCD","Chad","special.outcome_selected.1981.2001",29.972,29.847,45.133
"imports_gdp","TCD","Chad","special.outcome_selected.1981",22.661,24.635,51.111
"imports_gdp","TCD","Chad","special.outcome_selected.1990",27.907,32.23,41.409
"imports_gdp","TCD","Chad","special.outcome_selected.1995",33.768,31.962,42.597
"imports_gdp","TCD","Chad","special.outcome_selected.2001",49.656,34.604,51.812
"imports_gdp","COG","Republic of Congo","agriculture",9.751,12.408,16.152
"imports_gdp","COG","Republic of Congo","govt_share",0.432,0.267,0.22
"imports_gdp","COG","Republic of Congo","invest_share",0.175,0.273,0.245
"imports_gdp","COG","Republic of Congo","oda_share",15661058.487,37229359.57,65766998.595
"imports_gdp","COG","Republic of Congo","fdi",0.493,2.313,2.138
"imports_gdp","COG","Republic of Congo","labour",32.101,33.284,33.427
"imports_gdp","COG","Republic of Congo","polity2",-4.048,-0.195,1.298
"imports_gdp","COG","Republic of Congo","special.outcome_selected.1981.2001",49.858,49.192,45.133
"imports_gdp","COG","Republic of Congo","special.outcome_selected.1981",76.094,66.284,51.111
"imports_gdp","COG","Republic of Congo","special.outcome_selected.1990",19.042,41.225,41.409
"imports_gdp","COG","Republic of Congo","special.outcome_selected.1995",63.608,40.671,42.597
"imports_gdp","COG","Republic of Congo","special.outcome_selected.2001",53.312,58.143,51.812
"imports_gdp","GAB","Gabon","agriculture",7.637,21.606,16.152
"imports_gdp","GAB","Gabon","govt_share",0.151,0.248,0.22
"imports_gdp","GAB","Gabon","invest_share",0.118,0.26,0.245
"imports_gdp","GAB","Gabon","oda_share",1900630.118,31673829.005,65766998.595
"imports_gdp","GAB","Gabon","fdi",0.595,0.799,2.138
"imports_gdp","GAB","Gabon","labour",30.527,34.864,33.427
"imports_gdp","GAB","Gabon","polity2",-6.238,-6.338,1.298
"imports_gdp","GAB","Gabon","special.outcome_selected.1981.2001",39.511,38.318,45.133
"imports_gdp","GAB","Gabon","special.outcome_selected.1981",40.696,42.969,51.111
"imports_gdp","GAB","Gabon","special.outcome_selected.1990",30.859,32.375,41.409
"imports_gdp","GAB","Gabon","special.outcome_selected.1995",35.748,36.97,42.597
"imports_gdp","GAB","Gabon","special.outcome_selected.2001",29.363,36.983,51.812
