"outcome","treated_iso3c","treated_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","outcome_label"
"exports_gdp","BEN","Benin",3.52008712424449,7.26336237769614,2.06340414919562,-5.60527690099478,6.26277165146602,"Exports of goods and services (% of GDP)"
"exports_gdp","BFA","Burkina Faso",1.83890646870769,12.1946525728753,6.63146972420258,9.39452523632976,9.66209719224909,"Exports of goods and services (% of GDP)"
"exports_gdp","CAF","Central African Republic",2.8227036974588,9.65820354633687,3.42161437455581,-9.06069318028412,9.06069318028412,"Exports of goods and services (% of GDP)"
"exports_gdp","CIV","Côte d'Ivoire",5.46187127009438,9.87894247642902,1.8087102364568,-9.29355423890492,9.29355423890492,"Exports of goods and services (% of GDP)"
"exports_gdp","CMR","Cameroon",5.0575039921343,5.47620621579672,1.0827883130322,-4.78347436186324,4.78347436186324,"Exports of goods and services (% of GDP)"
"exports_gdp","COG","Republic of Congo",10.6389096766971,11.9884964536371,1.1268538617163,5.88256680268822,11.0230370535973,"Exports of goods and services (% of GDP)"
"exports_gdp","GAB","Gabon",9.88198047143977,7.57882126640131,0.766933438930091,4.36540663976325,6.67414749288873,"Exports of goods and services (% of GDP)"
"exports_gdp","GNQ","Equatorial Guinea",20.432703708943,12.8116992309267,0.627019283078004,1.37337874220322,11.7977056073439,"Exports of goods and services (% of GDP)"
"exports_gdp","MLI","Mali",1.74605827274358,2.54198382394225,1.45584134482982,-0.998754905916708,2.08483062242002,"Exports of goods and services (% of GDP)"
"exports_gdp","NER","Niger",4.67708200785263,13.6738160717953,2.92357842963572,-12.4770543535478,12.4770543535478,"Exports of goods and services (% of GDP)"
"exports_gdp","SEN","Senegal",2.19466462636212,9.45948804916894,4.31022031135983,-6.55142088156686,8.19073731078356,"Exports of goods and services (% of GDP)"
"exports_gdp","TCD","Chad",2.83512844641424,15.7758467581198,5.56442046852323,12.573452381796,13.0836071352884,"Exports of goods and services (% of GDP)"
"exports_gdp","TGO","Togo",14.0255410492221,10.5778793972933,0.754186905173257,-10.2103480333468,10.2103480333468,"Exports of goods and services (% of GDP)"
"imports_gdp","BEN","Benin",4.70583564409426,14.9027867676005,3.16687362133084,-13.0727308254015,13.1113451601598,"Imports of goods and services (% of GDP)"
"imports_gdp","BFA","Burkina Faso",3.22129488929679,6.82065009768846,2.117362840748,2.60046960525242,6.12651506697653,"Imports of goods and services (% of GDP)"
"imports_gdp","CAF","Central African Republic",4.66449337911798,12.0885900951294,2.59161909184985,-9.90064983188222,10.3452669830919,"Imports of goods and services (% of GDP)"
"imports_gdp","CIV","Côte d'Ivoire",3.98889426281859,11.5681171665357,2.90008117647159,-10.3495268552465,10.3495268552465,"Imports of goods and services (% of GDP)"
"imports_gdp","CMR","Cameroon",3.80227602152672,5.44161909507441,1.43114783468283,-4.88949699124062,5.05677965587467,"Imports of goods and services (% of GDP)"
"imports_gdp","COG","Republic of Congo",11.3688304260633,16.1061990718626,1.41669797756318,6.40690176356073,11.5248799050445,"Imports of goods and services (% of GDP)"
"imports_gdp","GAB","Gabon",6.32860172854652,16.0866729986718,2.54190004185433,-15.6926349277955,15.6926349277955,"Imports of goods and services (% of GDP)"
"imports_gdp","GNQ","Equatorial Guinea",0.105943493475712,4.78248367169031,45.1418347157555,0.326078806522641,2.9999460895255,"Imports of goods and services (% of GDP)"
"imports_gdp","MLI","Mali",3.96161151363494,4.94416521612887,1.24801869115945,0.96744328449204,4.31931958284749,"Imports of goods and services (% of GDP)"
"imports_gdp","NER","Niger",5.71027051289837,4.85448103519027,0.850131534788931,-2.70212809388625,4.49147093833613,"Imports of goods and services (% of GDP)"
"imports_gdp","SEN","Senegal",6.12947884265887,2.53878094427933,0.414191974464512,-1.29456735004784,2.25181892463248,"Imports of goods and services (% of GDP)"
"imports_gdp","TCD","Chad",5.98912408546104,22.283536411377,3.72066701130331,0.0749063516777587,13.8246866474276,"Imports of goods and services (% of GDP)"
"imports_gdp","TGO","Togo",11.6247063039554,8.56000202839127,0.736362864107688,-2.22236228701274,7.26016041962232,"Imports of goods and services (% of GDP)"
"trade_openness","BEN","Benin",7.37299051540097,22.4843494648869,3.04955627135566,-17.5246923306585,18.845265917616,"Trade openness (% of GDP)"
