"w.weights","unit.names","unit.numbers"
0,"BGD",3
0,"BOL",4
0,"BRB",5
0,"BTN",6
0,"BWA",7
0,"CPV",12
0,"DMA",13
0.474,"ECU",14
0,"GRD",17
0,"KNA",18
0,"LAO",19
0,"LCA",20
0,"LSO",21
0,"MAR",22
0,"MUS",24
0.008,"NAM",25
0.518,"OMN",27
0,"PAN",28
0,"SWZ",30
0,"SYC",31
