"treated_iso3c","treated_country","placebo_iso3c","placebo_country","unit_type","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","max_abs_post_gap"
"BEN","Benin","BEN","Benin","treated",49.0881480854592,619.690503058193,12.6240350721595,-344.338274491688,430.994450252419,1383.39322022258
"BEN","Benin","BGD","Bangladesh","placebo",87.6420264314049,361.639428742368,4.12632436135435,-90.7564459587397,323.669785427586,731.549793614739
"BEN","Benin","BOL","Bolivia","placebo",82.8480566614441,590.460786903873,7.12703243380556,-504.849413115186,508.090373635701,951.981836388016
"BEN","Benin","BRB","Barbados","placebo",2296.76204310156,2109.17779380199,0.91832665039768,1214.53600113918,1812.8757233357,4319.00756311255
"BEN","Benin","BTN","Bhutan","placebo",50.7050617857383,864.180831810963,17.0432852535056,803.803321788127,803.803321788127,1312.43254055126
"BEN","Benin","BWA","Botswana","placebo",214.434848300428,1615.69946632825,7.53468701162144,-1231.82860330304,1364.24017744085,2808.07071224032
"BEN","Benin","CPV","Cabo Verde","placebo",65.4845934754374,981.628981754137,14.9902279247154,838.874847334183,838.874847334183,1706.41818849846
"BEN","Benin","DMA","Dominica","placebo",94.0249136789796,2104.85233854563,22.3861129586572,-1796.74963752701,1796.74963752701,3945.42366314799
"BEN","Benin","ECU","Ecuador","placebo",311.486629132177,1007.02473612791,3.23296296516338,686.182192490243,772.185148089162,1860.43208207998
"BEN","Benin","GRD","Grenada","placebo",193.547745324649,861.099406054389,4.44902835013663,-484.45187803004,676.188992867118,1650.46463750574
"BEN","Benin","GUY","Guyana","placebo",79.4521292042803,1930.20446674418,24.2939300189351,1630.15610601007,1730.97290161337,2590.13699026071
"BEN","Benin","IRQ","Iraq","placebo",2292.54859292479,1040.27013136066,0.453761431522592,-393.41242934513,852.52933611858,1990.08523960247
"BEN","Benin","KNA","St. Kitts and Nevis","placebo",675.858043637658,4266.60719373279,6.3128747728868,3730.01880877839,3732.06567705501,6755.99629557831
"BEN","Benin","LAO","Lao PDR","placebo",167.136887246894,417.108810311587,2.49561193332167,-396.471536117981,396.471536117981,571.738243106808
"BEN","Benin","LCA","St. Lucia","placebo",273.771466437283,2648.02986551069,9.67240998476118,-2439.35829675008,2439.35829675008,3636.71312793198
"BEN","Benin","LSO","Lesotho","placebo",84.3178608148412,756.56728019815,8.97279974713238,-567.758305882979,575.995686694812,1631.96275961713
"BEN","Benin","MAR","Morocco","placebo",75.6123658071014,402.143130745013,5.31848364288642,-262.369684711229,331.536356897889,718.666359290326
"BEN","Benin","MUS","Mauritius","placebo",191.792832333488,1342.32198173677,6.99881202756708,1076.91811737863,1133.41420494213,2353.14602672965
"BEN","Benin","NAM","Namibia","placebo",235.242908540018,1035.26994331068,4.40085505546521,-735.887550225527,773.727975965693,2007.54105693469
"BEN","Benin","SWZ","Eswatini","placebo",136.161862304478,553.23673860154,4.06308146229977,431.972895721378,468.638026845374,1094.17806944705
"BEN","Benin","SYC","Seychelles","placebo",446.629536152991,2851.15638145745,6.38371659432932,-2186.41169996994,2370.22888321774,4956.30044011104
"BEN","Benin","TKM","Turkmenistan","placebo",152.679005207649,2465.42654023288,16.1477770757008,2108.94889869579,2108.94889869579,4420.82670929479
"BFA","Burkina Faso","BFA","Burkina Faso","treated",81.2922092464576,620.242110988955,7.6297853968827,-407.060978211953,407.060978211953,1416.40917996605
"BFA","Burkina Faso","BGD","Bangladesh","placebo",87.6420264314049,361.639428742368,4.12632436135435,-90.7564459587397,323.669785427586,731.549793614739
"BFA","Burkina Faso","BOL","Bolivia","placebo",82.8480566614441,590.460786903873,7.12703243380556,-504.849413115186,508.090373635701,951.981836388016
