"w.weights","unit.names","unit.numbers"
0.886,"BGD",3
0.004,"BOL",4
0.001,"BRB",5
0.002,"BRN",6
0.005,"BTN",7
0.001,"BWA",8
0.001,"CPV",13
0.001,"DMA",15
0.002,"ECU",16
0.001,"GRD",20
0.002,"GUY",21
0.001,"IRQ",22
0.001,"KNA",23
0.027,"LAO",24
0.001,"LCA",26
0.026,"LSO",27
0.002,"MAR",29
0.001,"MUS",31
0.003,"NAM",32
0.001,"OMN",34
0.001,"PAN",35
0,"QAT",36
0.003,"SLV",38
0.002,"SWZ",39
0.001,"SYC",40
0.025,"TKM",43
