"w.weights","unit.names","unit.numbers"
0.525,"BGD",3
0,"BOL",4
0,"BRB",5
0.001,"BRN",6
0.027,"BTN",7
0,"BWA",8
0,"CPV",13
0,"DMA",15
0,"ECU",16
0,"GRD",20
0,"GUY",21
0,"IRQ",22
0,"KNA",23
0.085,"LAO",24
0,"LCA",26
0.358,"LSO",27
0,"MAR",29
0,"MUS",31
0.001,"NAM",32
0,"OMN",34
0,"PAN",35
0,"QAT",36
0.001,"SLV",38
0,"SWZ",39
0,"SYC",40
0,"TKM",43
